LOC,Addr,LON,LAT
San Francisco,"San Francisco, California",-122.41963999999996,37.777120000000025
"San Francisco, CA","San Francisco, California",-122.41963999999996,37.777120000000025
"Chicago, IL","Chicago, Illinois",-87.63244999999996,41.88425000000007
New York,New York,-74.00713999999994,40.71455000000003
Houston,"Houston, Texas",-95.36967999999996,29.760580000000054
"Buffalo, NY","Buffalo, New York",-78.87845999999995,42.885440000000074
Brooklyn,"Brooklyn, New York",-73.99035999999995,40.69245000000007
"Bloomington, IN","Bloomington, Indiana",-86.53479999999996,39.166600000000074
"Las Vegas, NV","Las Vegas, Nevada",-115.14000999999996,36.17193000000003
"Miami, Florida","Miami, Florida",-80.19772999999998,25.774810000000052
Atlanta,"Atlanta, Georgia",-84.39110999999997,33.74831000000006
New Orleans,"New Orleans, Louisiana",-90.07774999999998,29.953700000000023
Kent,"Kent, Washington",-122.23742,47.38028000000003
Miami,"Miami, Florida",-80.19772999999998,25.774810000000052
Ontario,"Ontario, California",-117.64809999999994,34.06457000000006
"Houma, Louisiana","Houma, Louisiana",-90.71912999999996,29.597330000000053
"Portland, OR","Portland, Oregon",-122.67562999999996,45.511790000000076
"Birmingham, AL","Birmingham, Alabama",-86.81175999999996,33.520680000000034
"Phoenix, Arizona","Phoenix, Arizona",-112.07579999999996,33.44825000000003
Richmond,"Richmond, California",-122.34292999999997,37.93784000000005
"Murfreesboro, TN","Murfreesboro, Tennessee",-86.39502999999996,35.845080000000046
"Ballwin, MO","Ballwin, Missouri",-90.53936999999996,38.592990000000036
"St. Louis, MO","St Louis, Missouri",-90.19955999999996,38.62775000000005
"Boston, MA","Boston, Massachusetts",-71.05673999999993,42.358660000000036
"Tuscaloosa, AL","Tuscaloosa, Alabama",-87.56624999999997,33.21042000000005
"Los Angeles, CA","Los Angeles, California",-118.24531999999999,34.053490000000075
"San Francisco, California","San Francisco, California",-122.41963999999996,37.777120000000025
"Marina del Rey, CA","Marina del Rey, California",-118.45241999999996,33.98528000000005
"Pontiac, Michigan","Pontiac, Michigan",-83.28841999999997,42.636870000000044
"Hialeah, FL","Hialeah, Florida",-80.28149999999994,25.826980000000052
"San Diego, California","San Diego, California",-117.16170999999996,32.71568000000008
Las Vegas,"Las Vegas, Nevada",-115.14000999999996,36.17193000000003
Los Angeles,"Los Angeles, California",-118.24531999999999,34.053490000000075
"Mount Dora, Florida","Mount Dora, Florida",-81.64451999999993,28.802490000000034
"Atlanta, GA","Atlanta, Georgia",-84.39110999999997,33.74831000000006
"Berkeley, CA","Berkeley, California",-122.27053999999998,37.86988000000007
"Columbus, OH","Columbus, Ohio",-83.00274999999993,39.96199000000007
"Dallas, TX","Dallas, Texas",-96.79539999999996,32.77815000000004
Sausalito,"Sausalito, California",-122.48858999999999,37.859240000000064
"Humble, Texas","Humble, Texas",-95.26861999999994,30.000180000000054
"Ithaca, NY","Ithaca, New York",-76.49545999999998,42.440510000000074
"Boulder, CO","Boulder, Colorado",-105.27923999999996,40.01574000000005
"Boca Raton, FL","Boca Raton, Florida",-80.08840999999995,26.35049000000004
"Harrisburg, PA","Harrisburg, Pennsylvania",-76.88222999999994,40.25986000000006
Delaware,Delaware,-75.46747214399994,39.00812727600004
"Chino, CA","Chino, California",-117.68932999999998,34.01335000000006
Rotterdam,"Rotterdam, Town of Rotterdam, New York",-73.97181999999998,42.786890000000035
"New York, NY",New York,-74.00713999999994,40.71455000000003
"Houston, Texas","Houston, Texas",-95.36967999999996,29.760580000000054
"McLean, VA","McLean, Virginia",-77.18492999999995,38.93681000000004
"Bowling Green, Ohio","Bowling Green, Ohio",-83.65045999999995,41.37569000000008
"Pittsburgh, PA","Pittsburgh, Pennsylvania",-79.99733999999995,40.43851000000007
"Madison, WI","Madison, Wisconsin",-89.38643999999994,43.07313000000005
"San Diego, CA","San Diego, California",-117.16170999999996,32.71568000000008
"Palo Alto, CA","Palo Alto, California",-122.16078999999996,37.444660000000056
"Austin, TX","Austin, Texas",-97.74298999999996,30.267590000000038
"Greensboro, NC","Greensboro, North Carolina",-79.79502999999994,36.069080000000035
"Santa Monica, CA","Santa Monica, California",-118.49226999999996,34.01158000000004
"Evansville, IN","Evansville, Indiana",-87.56404999999997,37.97708000000007
"Baltimore, MD","Baltimore, Maryland",-76.60925999999995,39.290580000000034
"Seattle, WA","Seattle, Washington",-122.32944999999997,47.60357000000005
"Huntington Beach, CA","Huntington Beach, California",-118.00156999999996,33.678890000000024
"Galveston, TX","Galveston, Texas",-94.80790999999994,29.295320000000054
"Downey, CA","Downey, California",-118.12793999999997,33.940410000000035
"Orlando, FL","Orlando, Florida",-81.37738999999993,28.538230000000052
"Hattiesburg, MS","Hattiesburg, Mississippi",-89.29070999999998,31.327350000000024
"Carmel, IN","Carmel, Indiana",-86.12612999999996,39.97839000000005
Birmingham,"Birmingham, Alabama",-86.81175999999995,33.520680000000034
